Policy ID,Policyholder ID,Policy Type,Coverage Amount,Deductible,Premium Amount,Policy Start Date,Policy End Date,Name,Address,City,State,Zip,Age,Income,Credit Score,Property Type,Property Value,Square Footage,Year Built,Latitude,Longitude,Claim ID,Claim Date,Claim Type,Claim Amount,Claim Status,Number of Bedrooms,Number of Bathrooms,Roof Type,Construction Type,Proximity to Flood Zone,Proximity to Fire Station
POL0001,PH0001,Renters,321381,980,1704,2020-02-29,2029-04-07,Jordan Collins,"268 Tommy Ville
New Daisychester, NV 42315",Lake Christopherburgh,CO,93157,61,71938,717,Multi-Family,385657.2,1732,1904,-44.2752005,161.263559,CLA0001,2027-04-25,Theft,10212,Open,3,2,Tile,Wood,Near,Near
POL0002,PH0002,Home,230900,1937,1348,2023-08-14,2026-08-07,Amber Kelly,"61784 Johnson Walk
Port Latoya, IL 08179",South Heatherside,ND,18062,30,101600,727,Condo,277080.0,2320,1920,0.355860,-130.694273,CLA0002,2025-05-29,Theft,10666,Closed,1,3,Tile,Wood,Near,Not Near
POL0003,PH0003,Home,419017,2105,2305,2021-09-03,2024-11-08,Anthony Espinoza,"4349 Guerrero Mountains
Port Carolyn, OH 07931",Medinamouth,WY,77555,45,81513,735,Multi-Family,502820.39999999997,2383,1981,-15.0569365,-130.092151,CLA0003,2021-12-19,Other,11515,Closed,4,1,Wood,Steel,Not Near,Not Near
POL0004,PH0004,Home,350240,2118,1963,2021-05-25,2028-02-26,Sarah Boyle,"7907 Robbins Ford Suite 288
New Jamie, KS 48942",Jamesside,DC,08243,30,53598,687,Condo,420288.0,1679,1955,-16.853362,-161.353906,CLA0004,2023-01-25,Theft,12187,Open,5,1,Metal,Brick,Not Near,Not Near
POL0005,PH0005,Renters,188756,1366,1080,2022-02-11,2022-06-09,Joseph Richardson,"8271 Hernandez Brook
East Andreaborough, SC 75685",Mckayburgh,DE,63243,62,30000,711,Multi-Family,226507.19999999998,1859,1906,3.1719485,-58.661616,CLA0005,2022-04-11,Other,19194,Closed,5,1,Tile,Wood,Not Near,Not Near
POL0006,PH0006,Condo,316055,1219,1702,2020-02-28,2025-12-22,Steven Beasley,"428 Wilson Common
Lake Kimberlyberg, FL 53633",North Brianaberg,CA,46055,46,32801,654,Condo,379266.0,2360,1902,-82.7721255,3.648571,CLA0006,2020-11-07,Other,19138,Open,1,1,Tile,Steel,Near,Near
POL0007,PH0007,Home,324250,1679,1789,2020-08-17,2024-10-20,Audrey Miranda,"1652 Turner Village
Kirkfurt, DE 35173",Caitlinview,UT,70007,61,110333,749,Multi-Family,389100.0,1708,1915,-60.466965,146.221276,CLA0007,2022-02-28,Fire,18104,Closed,2,3,Wood,Brick,Not Near,Not Near
POL0008,PH0008,Home,383155,952,2010,2021-09-01,2025-04-26,Adam Prince,"52236 Gregory Centers Suite 062
Montgomeryport, AK 23291",East Suzanne,KS,93776,50,57772,639,Condo,459786.0,1815,1978,33.1827875,97.900970,CLA0008,2024-08-05,Fire,16501,Closed,1,3,Asphalt,Brick,Not Near,Not Near
POL0009,PH0009,Condo,157773,1232,912,2021-04-10,2025-12-06,Neil Alexander,"23765 Mcdonald Station Suite 433
Patricktown, NM 89313",South Davidchester,IN,66911,59,30000,725,Multi-Family,189327.6,1527,1904,-89.487571,-118.364367,CLA0009,2025-08-13,Weather,7253,Open,3,3,Metal,Steel,Near,Near
POL0010,PH0010,Renters,282750,1192,1532,2021-04-17,2025-12-18,Angel Mitchell,"265 Richard Hills
West Jeffrey, WV 13635",Torreschester,NY,18034,57,68381,688,Multi-Family,339300.0,1748,2021,-17.027007,-2.345277,CLA0010,2024-03-18,Fire,12178,Closed,4,2,Wood,Wood,Near,Not Near
POL0011,PH0011,Condo,243035,1398,1354,2022-09-26,2028-04-28,Nicholas Curry,"50924 Meyer Lake
South Michelle, NJ 26691",Hannashire,NV,89841,36,78459,664,Condo,291642.0,1645,2018,-13.0620435,93.843299,CLA0011,2027-10-10,Weather,6783,Open,2,3,Metal,Concrete,Near,Near
POL0012,PH0012,Condo,475976,1028,2482,2022-04-08,2022-11-13,Laurie Edwards,"507 Lee Springs Apt. 937
Christinahaven, WV 30042",Robertburgh,TX,99576,65,49382,646,Multi-Family,571171.2,2679,1915,11.6512245,-110.091061,CLA0012,2022-07-21,Fire,9756,Open,2,3,Tile,Brick,Not Near,Not Near
POL0013,PH0013,Home,197170,1820,1167,2020-07-13,2021-04-14,Benjamin Robinson,"2812 Steven Mountain
South Katherinetown, ND 55470",West Darrell,VT,44286,70,62708,731,Single Family,236604.0,1933,1933,-42.6017365,-146.454248,CLA0013,2020-08-20,Theft,13130,Closed,2,2,Asphalt,Brick,Near,Not Near
POL0014,PH0014,Home,202062,1553,1165,2021-02-09,2022-12-13,Cynthia Holt,"2299 Kyle Point
Port Katherineport, MT 16323",New Bridgetshire,OK,61655,36,75401,600,Single Family,242474.4,2392,1930,-9.223708,-4.486287,CLA0014,2021-08-29,Theft,500,Closed,4,3,Tile,Brick,Not Near,Not Near
POL0015,PH0015,Renters,252098,1525,1412,2022-06-02,2028-05-23,Andrew Chambers,"100 Garcia Branch Suite 952
Lake James, WY 82329",New Robinton,WA,20419,49,30000,761,Condo,302517.6,2692,2002,-34.2500665,170.616745,CLA0015,2023-03-03,Weather,12704,Open,4,1,Metal,Wood,Not Near,Not Near
POL0016,PH0016,Condo,50000,848,334,2020-02-14,2026-09-05,Gary Vargas,"6520 Jessica Valley Apt. 185
New Jennifer, WA 09512",Brianatown,WV,92590,44,43880,705,Condo,60000.0,2477,1975,15.9419675,-89.968325,CLA0016,2025-04-16,Theft,15176,Open,4,3,Metal,Wood,Near,Near
POL0017,PH0017,Condo,208415,2148,1256,2021-01-17,2029-05-15,Mary White,"196 Adams Port
West Nancyville, OR 71848",Aliview,IA,03717,38,46681,674,Condo,250098.0,1767,1958,-26.782672,-41.028083,CLA0017,2023-05-14,Weather,10226,Closed,4,1,Asphalt,Concrete,Not Near,Near
POL0018,PH0018,Renters,420941,2018,2306,2021-09-13,2024-06-15,Michaela Taylor,"393 Patterson Isle
South Michaelview, MS 40526",South Nicoleborough,SC,71748,64,131960,673,Single Family,505129.19999999995,2345,1960,13.869869,-123.099138,CLA0018,2023-11-23,Other,12331,Open,2,2,Asphalt,Steel,Near,Near
POL0019,PH0019,Renters,283972,2116,1631,2021-06-12,2026-10-25,Ashley Burgess,"Unit 2314 Box 1150
DPO AE 53316",Port Kathyshire,RI,81742,61,45683,641,Condo,340766.39999999997,1418,1909,-55.2501225,1.747243,CLA0019,2022-08-30,Other,11520,Open,2,3,Metal,Steel,Not Near,Near
POL0020,PH0020,Home,316698,1221,1705,2022-12-04,2026-04-09,Matthew Gregory,"9020 Brian Parks
Paulside, VA 42774",Choishire,AR,78907,53,75191,670,Multi-Family,380037.6,2014,2004,-84.779532,34.466488,CLA0020,2023-12-07,Other,5649,Closed,4,2,Wood,Brick,Near,Near
POL0021,PH0021,Home,306336,1646,1696,2019-12-04,2024-04-21,Breanna Harris,"07163 Powell Mall
New Derrickmouth, MA 35737",Lisaland,MD,16172,55,71938,796,Condo,367603.2,2667,1997,31.0418285,-161.572874,CLA0021,2020-08-19,Weather,15418,Open,1,1,Metal,Wood,Not Near,Not Near
POL0022,PH0022,Home,266579,1112,1444,2021-07-15,2021-10-14,Albert Bryant,"Unit 6774 Box 2590
DPO AA 01653",Edwinfurt,OK,82097,52,108456,693,Multi-Family,319894.8,1918,1904,-70.0366415,-118.808772,CLA0022,2021-08-28,Fire,11053,Closed,3,1,Tile,Steel,Not Near,Near
POL0023,PH0023,Renters,357418,983,1885,2023-06-21,2025-11-24,Jesus Bowman,"3080 Stevens Rest Apt. 193
West Jamiechester, IL 40091",Brianville,ME,24033,40,125583,637,Single Family,428901.6,1443,1947,78.774597,38.540296,CLA0023,2025-01-21,Other,11218,Open,3,3,Tile,Steel,Not Near,Not Near
POL0024,PH0024,Condo,273581,872,1455,2023-09-03,2028-10-21,Henry Smith,"604 Paul Viaduct
Lake Haroldchester, MD 15769",Johnstad,MO,94826,58,78662,666,Single Family,328297.2,1957,2013,-6.548213,84.164690,CLA0024,2027-11-22,Theft,3586,Open,4,3,Metal,Steel,Not Near,Near
POL0025,PH0025,Condo,248341,2004,1442,2022-07-10,2027-11-15,James Young,"396 Bush Canyon
Simonmouth, MO 62953",Hayestown,SD,21353,66,171506,724,Condo,298009.2,1728,1914,-10.368432,21.685445,CLA0025,2024-12-10,Theft,8857,Closed,2,3,Metal,Steel,Not Near,Near
POL0026,PH0026,Home,272924,880,1452,2023-02-24,2025-08-23,Karen Stanley,"Unit 1595 Box 5144
DPO AE 09315",Ericksonmouth,AZ,13300,69,91555,726,Multi-Family,327508.8,2130,1908,85.7016035,10.593764,CLA0026,2025-02-20,Theft,9796,Closed,1,1,Tile,Wood,Near,Near
POL0027,PH0027,Home,444462,1789,2401,2020-10-20,2021-05-28,Meredith Turner,"8268 Donna Viaduct Suite 599
North Allison, AZ 00628",Gardnerfurt,IL,67487,41,81376,773,Multi-Family,533354.4,1698,1909,-67.156887,22.867718,CLA0027,2021-04-05,Other,13499,Closed,1,2,Metal,Brick,Near,Not Near
POL0028,PH0028,Home,341872,1751,1884,2021-09-20,2028-04-24,Victoria Garrett,"PSC 7931, Box 8355
APO AA 21565",Smithfort,CA,17304,74,107502,622,Condo,410246.39999999997,1000,1969,58.051398,86.308844,CLA0028,2022-09-28,Weather,3530,Open,5,2,Wood,Brick,Not Near,Near
POL0029,PH0029,Renters,348886,1917,1936,2023-05-16,2023-08-03,Samuel Davis,"PSC 1344, Box 4512
APO AP 89287",South Joshua,MN,39614,50,81469,668,Multi-Family,418663.2,2705,1929,74.986974,157.280450,CLA0029,2023-06-06,Fire,12783,Closed,5,1,Asphalt,Steel,Not Near,Near
POL0030,PH0030,Condo,223841,1821,1301,2021-07-27,2022-10-02,Roberto Williams,"7694 Julie Mews Apt. 984
Josephview, VT 58598",Michelleberg,ID,89221,38,89339,708,Condo,268609.2,1794,1913,40.883816,-169.294621,CLA0030,2022-01-07,Fire,2560,Open,2,1,Asphalt,Wood,Near,Not Near
POL0031,PH0031,Renters,305671,1880,1716,2022-08-18,2026-04-28,Melissa Lee,"8003 Dixon Flats
Port Ronaldbury, MS 31306",Frederickberg,SD,90560,67,123849,693,Single Family,366805.2,2223,1945,27.909670,-53.956187,CLA0031,2025-04-15,Weather,9606,Open,2,1,Tile,Steel,Near,Near
POL0032,PH0032,Condo,364603,688,1891,2022-06-24,2026-02-14,Jeffrey Cisneros,"3666 Escobar Valleys Suite 990
Port Kimchester, WV 02616",East Angelaside,PA,53299,29,74402,658,Multi-Family,437523.6,1673,1969,56.213267,151.472821,CLA0032,2025-02-03,Other,10635,Open,4,2,Tile,Steel,Not Near,Near
POL0033,PH0033,Renters,237604,1523,1340,2022-12-30,2024-05-20,Hannah Benton,"075 David Branch Apt. 066
East Ryanville, OH 75946",Pattersonland,OH,21860,57,71116,677,Single Family,285124.8,2081,2002,52.968376,159.714336,CLA0033,2023-01-30,Weather,20421,Open,5,3,Tile,Steel,Not Near,Not Near
POL0034,PH0034,Condo,383189,1497,2065,2021-09-23,2028-11-17,Kimberly Richard,"USNV Holland
FPO AP 24142",Brucetown,DE,19394,64,40237,680,Condo,459826.8,2955,1989,-81.9006005,147.630598,CLA0034,2028-08-08,Theft,5126,Closed,1,2,Wood,Wood,Not Near,Not Near
POL0035,PH0035,Home,348076,1667,1907,2021-05-30,2024-09-25,Henry Scott,"824 Jorge Junction
North Tommystad, PA 40226",North Jonathan,SD,59761,33,107638,796,Single Family,417691.2,2295,1981,82.868462,89.085288,CLA0035,2022-10-14,Other,15532,Closed,4,2,Asphalt,Steel,Not Near,Near
POL0036,PH0036,Renters,581226,1319,3038,2020-02-11,2026-04-14,Stephanie Shah,"30086 Williams Estate Suite 435
Wangview, PA 48564",Houstonmouth,IA,49791,45,123628,727,Condo,697471.2,2278,1933,60.645580,19.851392,CLA0036,2024-11-11,Other,10199,Closed,2,1,Tile,Steel,Near,Not Near
POL0037,PH0037,Home,322335,1338,1745,2021-10-29,2022-05-12,Benjamin Mcdowell,"01478 Barker Mountain
Velasquezfort, WV 33155",New Erin,HI,62071,57,54964,691,Single Family,386802.0,1858,2012,-23.3574815,-156.933779,CLA0037,2021-12-29,Fire,7539,Closed,3,1,Asphalt,Brick,Near,Not Near
POL0038,PH0038,Renters,215068,840,1159,2020-03-02,2020-10-23,Alex Jensen,"794 Charles Forges
East Christopherstad, SC 15807",Douglasborough,DE,18256,64,94600,743,Single Family,258081.59999999998,2059,1981,36.825009,-38.643747,CLA0038,2020-06-25,Other,10277,Open,1,1,Asphalt,Wood,Near,Not Near
POL0039,PH0039,Home,307874,3195,1858,2020-10-10,2026-01-19,Ms. Margaret Richardson,"3909 Gutierrez Stream
Lake Jacobburgh, VT 61156",North Chelsea,IA,78746,47,49472,768,Condo,369448.8,1129,1909,-71.7252625,64.836028,CLA0039,2025-06-05,Fire,18410,Open,5,1,Metal,Steel,Near,Near
POL0040,PH0040,Condo,254358,1439,1415,2021-09-08,2022-09-16,Kathy Nixon,"95546 Gray Plaza
Dunnside, NC 81242",Pattersonberg,NM,98827,57,125183,734,Multi-Family,305229.6,2474,1954,10.0478425,-24.298154,CLA0040,2022-08-05,Fire,10253,Open,2,3,Metal,Brick,Near,Near
POL0041,PH0041,Condo,427880,1623,2301,2021-06-02,2029-06-29,Preston Jones,"1086 Justin Cove Suite 473
Simpsonborough, ME 03500",Lake Nicoleland,MI,58363,55,65153,690,Single Family,513456.0,2366,1918,79.6124605,129.642351,CLA0041,2024-01-06,Fire,856,Closed,4,1,Asphalt,Wood,Near,Not Near
POL0042,PH0042,Renters,434076,1416,2311,2023-05-21,2025-12-31,Jason Small,"629 Linda Motorway
Jenningshaven, NY 23769",East Lisa,MN,37549,68,54855,782,Multi-Family,520891.19999999995,2113,1969,-58.132573,143.318990,CLA0042,2025-07-07,Other,4370,Closed,5,1,Asphalt,Brick,Near,Near
POL0043,PH0043,Condo,113995,1450,714,2022-02-24,2029-02-15,Melissa Archer,"306 Mills Brook Apt. 121
Lake Jeremiahtown, NC 29465",Lake Lauren,UT,05781,37,124572,700,Single Family,136794.0,1529,1929,10.0297505,61.096483,CLA0043,2028-01-29,Theft,3648,Open,5,3,Wood,Brick,Near,Not Near
POL0044,PH0044,Condo,334606,1491,1822,2022-02-07,2024-12-11,Nancy Cabrera,"95777 Shannon Landing Suite 455
Port Martinborough, CA 20968",Carlsonfort,MA,35387,62,75515,807,Condo,401527.2,1662,1998,15.535715,8.563626,CLA0044,2023-10-06,Fire,7180,Closed,3,1,Tile,Steel,Not Near,Near
POL0045,PH0045,Condo,524951,705,2695,2019-12-04,2029-04-24,Matthew Cox,"638 Edwards Rue
Kempberg, HI 23581",North Jessica,LA,39963,42,76366,715,Single Family,629941.2,1816,1965,44.296691,-168.088899,CLA0045,2028-12-25,Theft,12173,Closed,3,3,Tile,Brick,Near,Not Near
POL0046,PH0046,Renters,518734,2015,2795,2020-05-22,2023-06-25,Jason Leach,"716 Baxter Ville Suite 795
South Ashley, WA 04513",East Dylanmouth,NC,68096,52,49384,745,Single Family,622480.7999999999,2325,1952,-10.2254255,-66.720523,CLA0046,2022-06-02,Other,5100,Open,1,3,Tile,Steel,Near,Not Near
POL0047,PH0047,Condo,195293,1640,1140,2023-02-13,2026-01-12,Jamie Moyer,"24059 Steve Ways
West Lauraland, AZ 34334",Nguyenside,UT,75413,28,97387,698,Single Family,234351.6,1659,1900,-58.309540,98.249030,CLA0047,2025-04-13,Weather,4009,Open,3,2,Asphalt,Brick,Near,Near
